danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.717,0.453,8,-9.394,1,0.0532,0.144,0.0,0.12,0.483,85.005,https://api.spotify.com/v1/tracks/0LqCvXVNvcnkq78sCQsoO0,165213,summer,keshi
0.695,0.571,11,-6.249,0,0.111,0.032,3.58e-06,0.118,0.726,101.955,https://api.spotify.com/v1/tracks/5eY7692tmgHB9dbmq6wa2M,270705,晴る,ヨルシカ
0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,176658,The Nights,Avicii
0.417,0.812,10,-3.979,1,0.0332,0.0154,2.11e-05,0.189,0.419,82.002,https://api.spotify.com/v1/tracks/0lko8s8up1bZSqctfuoPKj,230053,Beaches,beabadoobee
0.512,0.673,1,-8.137,1,0.0311,0.037,4.36e-06,0.0881,0.282,149.962,https://api.spotify.com/v1/tracks/3XwFS1pF1EY0ysSSFDkIrl,362146,"If I Sit Still, Maybe I'll Get Out of Here",TTNG
0.599,0.7,11,-8.191,1,0.0384,0.563,0.68,0.0613,0.882,105.778,https://api.spotify.com/v1/tracks/56prPhOQ8YcVNLK9UXn7Py,323160,ミッドナイト・ランデブー,CASIOPEA
0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,https://api.spotify.com/v1/tracks/3kKb3U3a8jmUJQB9ypE1Jl,187307,Under Control,The Strokes
0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,https://api.spotify.com/v1/tracks/1OubIZ0ARYCUq5kceYUQiO,256427,Congratulations (feat. Bilal),Mac Miller
0.446,0.734,6,-9.75,0,0.0374,8.24e-06,0.0492,0.564,0.545,178.182,https://api.spotify.com/v1/tracks/32GHYtVVAsYNQGafHrrRxv,166996,Take Me To The Sun,d4vd
0.541,0.696,0,-6.985,1,0.0228,0.329,0.671,0.086,0.441,107.434,https://api.spotify.com/v1/tracks/7Ea9xknXuevVBfFRTVnKCq,356133,Follow Me,Pat Metheny Group
0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,https://api.spotify.com/v1/tracks/1IT0WQk5J8NsaeII8ktdlZ,236293,King For A Day,Pierce The Veil
0.688,0.76,6,-9.177,1,0.0712,0.029,0.396,0.0405,0.305,149.96,https://api.spotify.com/v1/tracks/5agnrOYeSFojE4e6PwWLjX,278400,The Story Unfolds,Wildstylez
0.675,0.959,7,-1.754,1,0.0835,0.00893,8.48e-05,0.325,0.835,134.017,https://api.spotify.com/v1/tracks/22sQUmLhT8umlEhQzDrzfJ,191625,第六感,Reol
0.479,0.527,5,-7.1,1,0.276,0.0729,0.0,0.0879,0.351,199.664,https://api.spotify.com/v1/tracks/1ctbkptXLNIoEVTNAFYV4d,267733,I Like U,NIKI
0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,https://api.spotify.com/v1/tracks/1jDJFeK9x3OZboIAHsY9k2,183440,I'm Still Standing,Elton John
0.723,0.465,3,-6.454,0,0.0952,0.259,2.7e-05,0.108,0.513,97.702,https://api.spotify.com/v1/tracks/2DHNCWZYmVr1Lv08q5b0kB,245867,Roses,Kanye West
0.658,0.282,2,-8.282,0,0.0353,0.433,0.0,0.0741,0.39,119.757,https://api.spotify.com/v1/tracks/1cQ3LIkZE68pMSnPhZWXLu,277724,Earned It (Fifty Shades Of Grey),The Weeknd
0.61,0.682,7,-4.877,1,0.123,0.318,0.0,0.321,0.694,142.966,https://api.spotify.com/v1/tracks/57L5EYzCfHS7Jd58rV33lW,190075,HIGHJACK,A$AP Rocky
0.613,0.146,2,-11.211,1,0.0394,0.954,0.0,0.0857,0.413,117.075,https://api.spotify.com/v1/tracks/59ufJBDa8L0dduJwcxXnZj,210827,Dreamer,Laufey
0.851,0.652,8,-4.333,1,0.0367,0.0317,0.0,0.0936,0.696,119.944,https://api.spotify.com/v1/tracks/07oO1U722crtVcavi6frX6,190782,"Double Life - From ""Despicable Me 4""",Pharrell Williams
0.752,0.684,1,-7.248,1,0.12,0.0279,0.00995,0.123,0.539,95.023,https://api.spotify.com/v1/tracks/4qZLrKsaGkYmVRGUviVPtk,189680,Inwood Hill Park,6LACK
0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,241440,Midnight City,M83
0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,219827,Reptilia,The Strokes
0.758,0.266,11,-10.829,1,0.0443,0.574,0.246,0.107,0.359,129.342,https://api.spotify.com/v1/tracks/7AvuIMRKdo5RvS6YIzXjsj,231560,Tell Me Why,Gotts Street Park
0.486,0.963,6,-5.91,0,0.0449,0.000103,0.826,0.287,0.425,143.986,https://api.spotify.com/v1/tracks/7HY51OtcpIQSSr8mBUc9zF,147912,Splash,Chon
