danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.264,0.4,6,-15.495,0,0.0424,0.0294,0.193,0.113,0.143,140.369,https://api.spotify.com/v1/tracks/6MhKiXTMZtoL1Mr20XiTzL,1496347,Echoes (Live at Pompeii) [2016 Remix],Pink Floyd
0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,https://api.spotify.com/v1/tracks/5kI4eCXXzyuIUXjQra0Cxi,294521,betty,Taylor Swift
0.197,0.603,5,-16.116,0,0.0454,0.302,0.794,0.106,0.232,169.881,https://api.spotify.com/v1/tracks/2q6fxAvSpqXR4jx9Ne7RGz,106280,Main Title,Ramin Djawadi
0.562,0.808,9,-7.14,0,0.0391,0.00729,0.0,0.0761,0.727,150.003,https://api.spotify.com/v1/tracks/37JoRcYtA30gqhRc8wCOQj,187221,OhNo!,Kevin Walkman
0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,229120,No Surprises,Radiohead
0.346,0.858,1,-4.703,0,0.0475,4.74e-05,0.844,0.377,0.3,120.199,https://api.spotify.com/v1/tracks/6tFjBPdrwXhIpdR6i59DVx,327512,The Spell of Mathematics,Deftones
0.588,0.742,8,-6.757,1,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,https://api.spotify.com/v1/tracks/5kRBzRZmZTXVg8okC7SJFZ,228173,Another Day Of Sun,La La Land Cast
0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,https://api.spotify.com/v1/tracks/3Pzh926pXggbMe2ZpXyMV7,175493,Ain't No Rest for the Wicked,Cage The Elephant
0.507,0.33,7,-10.782,0,0.0293,0.179,0.0827,0.0757,0.151,119.95,https://api.spotify.com/v1/tracks/3GosNUx3HXzxQgQisAn5Hj,278615,Before The Flood,&ME
0.363,0.716,11,-6.823,0,0.111,0.482,5.06e-06,0.0189,0.581,190.965,https://api.spotify.com/v1/tracks/7wjmdC4OL3l1nh9zQwCpv8,228853,Curses,The Crane Wives
0.555,0.727,6,-4.202,1,0.0388,0.0579,7.52e-06,0.0937,0.739,82.142,https://api.spotify.com/v1/tracks/4JpazKcfOhbwqZrsYhzHee,223120,Jackie and Wilson,Hozier
